# ps/frame	Tilt angle
2.0	43.7448796398
6.0	43.6985423525
10.0	42.4328488358
14.0	42.8294948733
18.0	43.2388498325
22.0	44.4023910349
26.0	43.3312001033
30.0	43.4629260056
34.0	43.6291947017
38.0	43.96915849
42.0	43.7448796398
46.0	43.6985423525
50.0	42.4328488358
54.0	42.8294948733
58.0	43.2388498325
62.0	44.4023910349
66.0	43.3312001033
70.0	43.4629260056
74.0	43.6291947017
78.0	43.96915849
82.0	43.7448796398
86.0	43.6985423525
90.0	42.4328488358
94.0	42.8294948733
98.0	43.2388498325
102.0	44.4023910349
106.0	43.3312001033
110.0	43.4629260056
114.0	43.6291947017
118.0	43.96915849
