# Frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
1	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
2	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
3	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
4	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
5	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
6	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
7	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
8	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
9	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
10	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
11	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
12	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
13	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
14	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
15	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
16	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
17	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
18	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
19	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
20	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
21	92.8931	92.8931	82.5655	90.0	90.0	90.0	712468.01861
22	92.7603	92.7603	82.4446	90.0	90.0	90.0	709392.106647
23	92.7565	92.7565	82.4961	90.0	90.0	90.0	709777.717377
24	92.8409	92.8409	82.3958	90.0	90.0	90.0	710205.266843
25	92.8548	92.8548	82.3702	90.0	90.0	90.0	710196.145393
26	92.8144	92.8144	82.6268	90.0	90.0	90.0	711789.353135
27	92.8075	92.8075	82.6109	90.0	90.0	90.0	711546.068408
28	92.7111	92.7111	82.7295	90.0	90.0	90.0	711088.394326
29	92.6309	92.6309	82.561	90.0	90.0	90.0	708413.427968
30	92.6754	92.6754	82.6244	90.0	90.0	90.0	709638.331869
