# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
2.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
6.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
10.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
14.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
18.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
22.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
26.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
30.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
34.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
38.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
