# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
0.0	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
2.0	93.1276	93.1276	82.315	90.0	90.0	90.0	713896.887802
4.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
6.0	93.012	93.012	82.5436	90.0	90.0	90.0	714104.515644
8.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
10.0	93.098	93.098	82.5636	90.0	90.0	90.0	715598.891693
12.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
14.0	93.1242	93.1242	82.9266	90.0	90.0	90.0	719149.491421
16.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
18.0	93.1419	93.1419	82.8305	90.0	90.0	90.0	718588.491234
20.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
22.0	93.005	93.005	82.732	90.0	90.0	90.0	715626.523724
24.0	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
26.0	92.893	92.893	82.941	90.0	90.0	90.0	715706.971854
28.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
30.0	92.9553	92.9553	82.8813	90.0	90.0	90.0	716151.128923
32.0	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
34.0	92.7405	92.7405	82.8083	90.0	90.0	90.0	712218.154621
36.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
