# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
2	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
4	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
6	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
8	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
10	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
12	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
14	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
16	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
18	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
20	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
22	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
24	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
26	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
28	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
30	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
32	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
34	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
36	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
38	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
40	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
42	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
44	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
46	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
48	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
50	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
52	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
54	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
56	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
58	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
60	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
62	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
64	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
66	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
68	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
70	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
72	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
74	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
76	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
78	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
80	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
82	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
84	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
86	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
88	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
90	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
92	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
94	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
96	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
98	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
100	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
102	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
104	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
106	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
108	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
110	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
112	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
114	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
116	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
118	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
120	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
122	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
124	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
126	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
128	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
130	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
132	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
134	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
136	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
138	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
140	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
142	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
144	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
146	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
148	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
150	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
152	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
154	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
156	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
158	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
160	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
162	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
164	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
166	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
168	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
170	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
172	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
174	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
176	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
178	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
180	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
182	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
184	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
186	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
188	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
190	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
192	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
194	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
196	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
198	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
200	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
202	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
204	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
206	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
208	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
210	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
212	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
214	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
216	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
218	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
220	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
222	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
224	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
226	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
228	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
230	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
