# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
2.0	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
6.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
10.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
14.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
18.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
22.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
26.0	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
30.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
34.0	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
38.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
42.0	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
46.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
50.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
54.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
58.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
62.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
66.0	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
70.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
74.0	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
78.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
82.0	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
86.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
90.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
94.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
98.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
102.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
106.0	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
110.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
114.0	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
118.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
122.0	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
126.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
130.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
134.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
138.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
142.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
146.0	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
150.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
154.0	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
158.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
162.0	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
166.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
170.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
174.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
178.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
182.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
186.0	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
190.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
194.0	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
198.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
202.0	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
206.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
210.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
214.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
218.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
